Ano;TotalGasto
2008;211877.87999999986
2009;115404993.06001836
2010;154391857.68004504
2011;171967272.0699704
2012;170473249.4199203
2013;189320474.81992507
2014;196451340.9199696
2015;214085099.98999116
2016;221061558.1999929
2017;225875428.59006757
2018;215414339.81005237
2019;207417718.65988755
